bankCode;branchCode;bic;bankName;postalCode;city;flags
16706;;AGRIFRPP867;Caisse régionale de crédit agricole mutuel Nord de France;59020;LILLE CEDEX;
16806;;AGRIFRPP868;Caisse régionale de crédit agricole mutuel de Centre France - Crédit agricole  Centre France (3ème du nom);63000;CLERMONT FERRAND;
16807;;;BANQUE POPULAIRE AUVERGNE RHONE ALPES;69003;Lyon;
16850;;AGRIFRP1EFG;Crédit agricole leasing & factoring;92548;MONTROUGE CEDEX;
16906;;AGRIFRPP869;Caisse régionale de crédit agricole mutuel Pyrénées-Gascogne;65003;TARBES CEDEX;
16989;;CAVNFR21XXX;Mobilis banque;59100;ROUBAIX;
17060;;;SOCIETE GENERALE Factoring;94120;Fonenay sous bois;
17100;;;Caisse de crédit municipal de Strasbourg;67000;STRASBOURG;
17106;;AGRIFRPP871;Caisse régionale de crédit agricole mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales);66832;PERPIGNAN CEDEX;
17150;;CCUTFR21XXX;Caisse de crédit municipal de Toulon;83000;TOULON;
17206;;AGRIFRPP872;Caisse régionale de crédit agricole mutuel Alsace Vosges;67008;STRASBOURG;
17439;;SODIRER1XXX;SOFIDER;97477;SAINT-DENIS CEDEX;
17510;;;Créatis;59650;VILLENEUVE D ASCQ;
17515;;;Caisse d'épargne et de prévoyance Ile-de-France;75021;PARIS CEDEX 1;
17519;;BACPFRPPXXX;Banque centrale de compensation;75002;PARIS 02;
17549;;;Natiocrédibail;92000;NANTERRE;
17569;;CMBMMCMXXXX;CMB MONACO;98007;MONACO;
17579;;;Bank Tejarat;75008;PARIS 08;
43899;;UBAFFRPPXXX;Union de banques arabes et françaises - U.B.A.F.;92066;PARIS LA DEFENSE CEDEX;
44149;;ESCBFRPPBDF;Banque d'escompte;75009;PARIS 09;
44269;;;Bank Saderat Iran;75002;PARIS 02;
44319;;;Louvre Banque Privée;75001;PARIS 01;
44729;;BSCHFRPPXXX;Banco Santander SA;75008;PARIS 08;
45539;;CMCIFRPACCM;Caisse centrale du crédit mutuel;75017;PARIS;
45850;;ODDOFRCPXXX;Oddo BHF SCA;75009;PARIS 09;
17599;;BLOMFRPPXXX;Banque Banorient France;75008;PARIS 08;
17619;;BEMOFRPPXXX;BEMO EUROPE - BANQUE PRIVEE;75116;PARIS 16;
17620;;CCMNFR21XXX;Caisse de crédit municipal de Nîmes;30013;NIMES CEDEX 01;
17629;;COBAFRPXMCA;Commerzbank ag;75084;PARIS CEDEX 02;
17660;;;Généfim;75009;PARIS 09;
17679;;SEBXFRP1XXX;Société de banque et d'expansion - S.B.E. (2ème du nom);92800;Puteaux;
17779;;SBAAFRPPXXX;Banque SBA;75008;PARIS 08;
17789;;DEUTFRPPXXX;Deutsche Bank AG;75008;PARIS CEDEX 08;
17799;;SEPBFRPPXXX;Bank Sepah;75116;PARIS;
17806;;AGRIFRPP878;Caisse régionale de crédit agricole mutuel Centre-Est;69410;CHAMPAGNE AU MONT D OR;
17807;;;Banque populaire Occitane;31130;BALMA;
17839;;GMACFR22XXX;Stellantis Bank;78300;Poissy;
17906;;AGRIFRPP879;Caisse régionale de crédit agricole mutuel de l'Anjou et du Maine;72083;LE MANS CEDEX 9;
17919;;QNBAFRPPXXX;Qatar national bank;75116;PARIS 16;
17959;;BAMYFR22XXX;Banque Michel Inchauspé - BAMI;64100;BAYONNE;
17979;;ARABFRPPXXX;ARAB BANK EUROPE SA;75008;PARIS 08;
17989;;;FIRST ABU DHABI BANK;75008;PARIS 08;
16275;;;Caisse d'épargne et de prévoyance Hauts de France;59800;LILLE;
18029;;;BNP Paribas Personal Finance;75009;PARIS 09;
18050;;CCMLFR21XXX;Caisse de crédit municipal de Lyon;69396;LYON CEDEX 03;
18059;;MIDLFRPXXXX;HSBC Bank Plc, Paris Branch;75116;PARIS;
18079;;SOGEGPGPXXX;CCF;75007;PARIS;
18089;;AUDIFRPPXXX;Bank Audi France;75008;PARIS 08;
18106;;AGRIFRPP881;Caisse régionale de crédit agricole mutuel des Savoie;74985;ANNECY LE VIEUX;
18129;;ISAEFRPPXXX;CACEIS Bank;92120;Montrouge;
18160;;;Caisse de crédit municipal de Nancy;54064;NANCY CEDEX;
18189;;CGCPFRPLXXX;Compagnie générale de crédit aux particuliers - Crédipar;78300;POISSY;
18206;;AGRIFRPP892;Caisse régionale de crédit agricole mutuel de Paris et d'Ile-de-France;75596;PARIS CEDEX 12;
18280;;;Unifergie - Union pour le financement des économies d'énergie;92548;MONTROUGE CEDEX;
18306;;AGRIFRPP883;Caisse régionale de crédit agricole mutuel Normandie-Seine;76238;BOIS GUILLAUME CEDEX;
18315;;;Caisse d'épargne et de prévoyance Côte d'Azur;06205;NICE CEDEX 3;
18359;;CPMEFRPPXXX;Bpifrance;94710;MAISONS - ALFORT;
18450;;CMROFR21XXX;Caisse de crédit municipal de Roubaix;59061;Roubaix Cédex 1;
