bankCode,bic,bankName,postalCode,city,flags
06828,RBABCH22828,acrevis Bank AG (ex Regiobank Männedorf),8708,Männedorf,
06830,RBABCH22830,Lienhardt & Partner Privatbank Zürich AG,8024,Zürich,
06835,RBABCH22835,Ersparniskasse Schaffhausen AG,8201,Schaffhausen,
06850,RBABCH22850,Bank Avera Genossenschaft,8620,Wetzikon ZH,
06858,RBABCH22858,BS Bank Schaffhausen AG,8213,Neunkirch,
06866,RBABCH22866,Spar- und Leihkasse Thayngen AG,8240,Thayngen,
06875,RBABCH22875,Leihkasse Stammheim AG,8477,Oberstammheim,
06877,RBABCH22877,Zürcher Landbank AG,8353,Elgg,
06888,RBABCH22888,Bank BSU Genossenschaft,8610,Uster 1,
06900,ACRGCH22XXX,acrevis Bank AG,9004,St. Gallen,
06920,ARBHCH22XXX,Alpha RHEINTAL Bank AG,9435,Heerbrugg,
06935,RBABCH22935,Clientis Bank Oberuzwil AG,9242,Oberuzwil,
06955,RBABCH22955,Clientis Bank Toggenburg AG,9533,Kirchberg SG,
06964,RBABCH22964,Bank in Zuzwil,9524,Zuzwil SG,
06977,RBABCH22977,Clientis Bank Thur Genossenschaft,9642,Ebnat-Kappel,
06980,RBABCH22980,Biene Bank im Rheintal Genossenschaft,9450,Altstätten SG,
00700,ZKBKCHZZ80A,Zürcher Kantonalbank,8010,Zürich,
00702,ZKBKCHZZ80A,Zürcher Kantonalbank,8036,Zürich,
00703,ZKBKCHZZ80A,Zürcher Kantonalbank,8010,Zürich,
00704,ZKBKCHZZ80A,Zürcher Kantonalbank,8712,Stäfa,
00705,ZKBKCHZZ80A,Zürcher Kantonalbank,8604,Volketswil,
00706,ZKBKCHZZ80A,Zürcher Kantonalbank,8953,Dietikon 1,
00708,ZKBKCHZZ80A,Zürcher Kantonalbank,8046,Zürich,
00709,ZKBKCHZZ80A,Zürcher Kantonalbank,8902,Urdorf,
00710,ZKBKCHZZ80A,Zürcher Kantonalbank,8126,Zumikon,
00711,ZKBKCHZZ80A,Zürcher Kantonalbank,8048,Zürich,
00712,ZKBKCHZZ80A,Zürcher Kantonalbank,8036,Zürich,
00713,ZKBKCHZZ80A,Zürcher Kantonalbank,8032,Zürich,
00714,ZKBKCHZZ80A,Zürcher Kantonalbank,8042,Zürich,
00715,ZKBKCHZZ80A,Zürcher Kantonalbank,8036,Zürich,
00716,ZKBKCHZZ80A,Zürcher Kantonalbank,8005,Zürich,
00717,ZKBKCHZZ80A,Zürcher Kantonalbank,8038,Zürich,
00718,ZKBKCHZZ80A,Zürcher Kantonalbank,8051,Zürich,
00719,ZKBKCHZZ80A,Zürcher Kantonalbank,8052,Zürich,
00720,ZKBKCHZZ80A,Zürcher Kantonalbank,8047,Zürich,
00721,ZKBKCHZZ80A,Zürcher Kantonalbank,8910,Affoltern am Albis,
